Date,BTC,SPX
2024-03-08,68300.09375,5123.68994140625
2024-03-11,72123.90625,5117.93994140625
2024-03-12,71481.2890625,5175.27001953125
2024-03-13,73083.5,5165.31005859375
2024-03-14,71396.59375,5150.47998046875
2024-03-15,69403.7734375,5117.08984375
2024-03-18,67548.59375,5149.419921875
2024-03-19,61912.7734375,5178.509765625
2024-03-20,67913.671875,5224.6201171875
2024-03-21,65491.390625,5241.52978515625
2024-03-22,63778.76171875,5234.18017578125
2024-03-25,69958.8125,5218.18994140625
2024-03-26,69987.8359375,5203.580078125
2024-03-27,69455.34375,5248.490234375
2024-03-28,70744.953125,5254.35009765625
2024-04-01,69702.1484375,5243.77001953125
2024-04-02,65446.97265625,5205.81005859375
2024-04-03,65980.8125,5211.490234375
2024-04-04,68508.84375,5147.2099609375
2024-04-05,67837.640625,5204.33984375
2024-04-08,71631.359375,5202.39013671875
2024-04-09,69139.015625,5209.91015625
2024-04-10,70587.8828125,5160.64013671875
2024-04-11,70060.609375,5199.06005859375
2024-04-12,67195.8671875,5123.41015625
2024-04-15,63426.2109375,5061.81982421875
2024-04-16,63811.86328125,5051.41015625
2024-04-17,61276.69140625,5022.2099609375
2024-04-18,63512.75390625,5011.1201171875
2024-04-19,63843.5703125,4967.22998046875
2024-04-22,66837.6796875,5010.60009765625
2024-04-23,66407.2734375,5070.5498046875
2024-04-24,64276.8984375,5071.6298828125
2024-04-25,64481.70703125,5048.419921875
2024-04-26,63755.3203125,5099.9599609375
2024-04-29,63841.12109375,5116.169921875
2024-04-30,60636.85546875,5035.68994140625
2024-05-01,58254.01171875,5018.39013671875
2024-05-02,59123.43359375,5064.2001953125
2024-05-03,62889.8359375,5127.7900390625
2024-05-06,63161.94921875,5180.740234375
2024-05-07,62334.81640625,5187.7001953125
2024-05-08,61187.94140625,5187.669921875
2024-05-09,63049.9609375,5214.080078125
2024-05-10,60792.77734375,5222.68017578125
2024-05-13,62901.44921875,5221.419921875
2024-05-14,61552.7890625,5246.68017578125
2024-05-15,66267.4921875,5308.14990234375
2024-05-16,65231.58203125,5297.10009765625
2024-05-17,67051.875,5303.27001953125
2024-05-20,71448.1953125,5308.1298828125
2024-05-21,70136.53125,5321.41015625
